SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1102 12th St #2,Santa Monica,CA,90403,960000,2,2.0,Santa Monica,1307,5000,1981,30,735,473,Active,,,http://www.redfin.com/CA/Santa-Monica/1102-12th-St-90403/unit-2/home/6772889,TheMLS,20-595390,N,Y,34.0263112,-118.4922862
MLS Listing,,Condo/Co-op,1319 11th St #4,Santa Monica,CA,90401,549000,1,1.0,C14 - Santa Monica,541,7523,1958,32,1015,334,Active,,,http://www.redfin.com/CA/Santa-Monica/1319-11th-St-90401/unit-4/home/6774033,CRMLS,PW20123618,N,Y,34.0229264,-118.4893481
MLS Listing,,Single Family Residential,1767 Sunset Ave,Santa Monica,CA,90405,5995000,4,6.0,Santa Monica,5400,5729,2020,33,1110,,Active,,,http://www.redfin.com/CA/Santa-Monica/1767-Sunset-Ave-90405/home/6776041,TheMLS,20-595808,N,Y,34.0079301,-118.4619257
MLS Listing,,Multi-Family (5+ Unit),129 San Vicente Blvd,Santa Monica,CA,90402,25000000,48,33.0,Santa Monica,30140,47314,1949,33,829,,Active,,,http://www.redfin.com/CA/Santa-Monica/129-San-Vicente-Blvd-90402/home/6781472,TheMLS,20-596344,N,Y,34.027391,-118.5136203
MLS Listing,,Condo/Co-op,1118 3rd St #603,Santa Monica,CA,90403,1945000,2,1.75,Santa Monica,1585,30007,1982,33,1227,750,Active,,,http://www.redfin.com/CA/Santa-Monica/1118-3rd-St-90403/unit-603/home/6780827,TheMLS,20-596374,N,Y,34.0189178,-118.5004556
MLS Listing,,Multi-Family (5+ Unit),401-409 San Vicente Blvd,Santa Monica,CA,90402,8750000,20,17.0,Santa Monica,13999,15591,1953,33,625,,Active,,,http://www.redfin.com/CA/Santa-Monica/401-San-Vicente-Blvd-90402/home/6781358,TheMLS,20-596172,N,Y,34.0297628,-118.5109995
MLS Listing,,Condo/Co-op,2313 5th St #3,Santa Monica,CA,90405,1099000,3,1.75,Santa Monica,1181,28026,1966,34,931,432,Active,,,http://www.redfin.com/CA/Santa-Monica/2313-5th-St-90405/unit-3/home/6779324,TheMLS,20-583608,N,Y,34.0072235,-118.4826602
MLS Listing,,Multi-Family (2-4 Unit),1747 9th St,Santa Monica,CA,90404,1599900,4,3.0,Santa Monica,1460,7505,1925,34,1096,,Active,,,http://www.redfin.com/CA/Santa-Monica/1747-9th-St-90404/home/6774440,TheMLS,20-595004,N,Y,34.0150306,-118.4839813
MLS Listing,,Condo/Co-op,1217 20th St #303,Santa Monica,CA,90404,895000,2,2.0,Santa Monica,1021,7498,1974,34,877,350,Active,,,http://www.redfin.com/CA/Santa-Monica/1217-20th-St-90404/unit-303/home/6768155,TheMLS,20-594132,N,Y,34.0311661,-118.4824006
MLS Listing,,Single Family Residential,435 Marguerita Ave,Santa Monica,CA,90402,16995000,6,9.0,Santa Monica,6944,21284,1921,34,2447,,Active,,,http://www.redfin.com/CA/Santa-Monica/435-Marguerita-Ave-90402/home/8091637,TheMLS,20-595702,N,Y,34.0282601,-118.5074939
MLS Listing,,Single Family Residential,3129 Pearl St,Santa Monica,CA,90405,1680000,2,1.0,C14 - Santa Monica,1243,5254,1941,35,1352,,Active,,,http://www.redfin.com/CA/Santa-Monica/3129-Pearl-St-90405/home/6764850,CRMLS,WS20122091,N,Y,34.0238408,-118.454559
MLS Listing,,Townhouse,1111 10th St #105,Santa Monica,CA,90403,1495000,2,2.25,Santa Monica,1740,7515,2001,35,859,505,Active,,,http://www.redfin.com/CA/Santa-Monica/1111-10th-St-90403/unit-105/home/8101991,TheMLS,20-580204,N,Y,34.0249716,-118.4935789
MLS Listing,,Condo/Co-op,1028 19th St #5,Santa Monica,CA,90403,899000,2,1.5,Santa Monica,850,19858,1947,35,1058,361,Active,,,http://www.redfin.com/CA/Santa-Monica/1028-19th-St-90403/unit-5/home/6769615,TheMLS,20-593000,N,Y,34.0324541,-118.486784
MLS Listing,,Townhouse,1837 11th St #3,Santa Monica,CA,90404,1099000,2,2.25,Santa Monica,1334,7479,1979,36,824,400,Active,,,http://www.redfin.com/CA/Santa-Monica/1837-11th-St-90404/unit-3/home/6774599,TheMLS,20-591352,N,Y,34.0155346,-118.4806974
